Time,Vehicle speed (km/h),Engine RPM (RPM),Control module voltage (V),Relative accelerator pedal position (%),Accel Pedal Position (%),Battery Voltage (V),Current Gear (gear),Steering Wheel Angle (°)
03/06/2022 05:00:06.9805 下午,0,845.25,14.153,0,0,0,0,0
03/06/2022 05:00:07.9745 下午,0,832.75,14.318,0,0,0,0,0
03/06/2022 05:00:08.7515 下午,0,821,14.318,0,0,0,0,0
03/06/2022 05:00:10.1239 下午,0,787.25,14.318,0,0,0,0,0
03/06/2022 05:00:11.4862 下午,0,766.75,14.318,0,0,0,0,0
03/06/2022 05:00:13.1620 下午,0,895.75,14.318,0,0,0,0,0
03/06/2022 05:00:13.9082 下午,3,1518,14.318,0,0,0,0,0
03/06/2022 05:00:14.5297 下午,9,1694,14.318,0,0,0,0,0
03/06/2022 05:00:15.6456 下午,13,1975.5,14.318,0,0,0,0,0
03/06/2022 05:00:16.3172 下午,14,2304.25,14.318,0,0,0,0,0
03/06/2022 05:00:17.1052 下午,19,1666.5,14.318,0,0,0,0,0
03/06/2022 05:00:17.8483 下午,21,1902.5,13.965,0,0,0,0,0
03/06/2022 05:00:18.8988 下午,23,2049,13.965,0,0,0,0,0
03/06/2022 05:00:19.7971 下午,25,2206.25,13.965,0,0,0,0,0
03/06/2022 05:00:20.4013 下午,29,1549.75,13.965,0,0,0,0,0
03/06/2022 05:00:21.1017 下午,30,1727.5,13.965,0,0,0,0,0
03/06/2022 05:00:22.1340 下午,32,1694,13.965,0,0,0,0,0
03/06/2022 05:00:23.3105 下午,32,1158.25,13.965,0,0,0,0,0
03/06/2022 05:00:23.8174 下午,31,1397.75,13.965,0,0,0,0,0
03/06/2022 05:00:24.4895 下午,32,1373.75,13.965,0,0,0,0,0
03/06/2022 05:00:25.7666 下午,33,1319,13.965,0,0,0,0,0
03/06/2022 05:00:26.6267 下午,34,1399.75,14.247,0,0,0,0,0
03/06/2022 05:00:27.4198 下午,37,1455.25,14.247,0,0,0,0,0
03/06/2022 05:00:28.1175 下午,39,1580.25,14.247,0,0,0,0,0
03/06/2022 05:00:29.3880 下午,41,1760,14.247,0,0,0,0,0
03/06/2022 05:00:30.3619 下午,43,2475.75,14.247,0,0,0,0,0
03/06/2022 05:00:31.0460 下午,51,2799.5,14.247,0,0,0,0,0
03/06/2022 05:00:31.7855 下午,54,2893.5,14.247,0,0,0,0,0
03/06/2022 05:00:32.7892 下午,55,2607.25,14.247,0,0,0,0,0
03/06/2022 05:00:33.7732 下午,55,1915.75,14.247,0,0,0,0,0
03/06/2022 05:00:34.6397 下午,52,1327.25,14.247,0,0,0,0,0
03/06/2022 05:00:35.2425 下午,49,1279,14.177,0,0,0,0,0
03/06/2022 05:00:36.4929 下午,46,1247.75,14.177,0,0,0,0,0
03/06/2022 05:00:37.4694 下午,45,1381.5,14.177,0,0,0,0,0
03/06/2022 05:00:38.4395 下午,46,1672.5,14.177,0,0,0,0,0
03/06/2022 05:00:38.9151 下午,48,2326.5,14.177,0,0,0,0,0
03/06/2022 05:00:40.1086 下午,50,2818,14.177,0,0,0,0,0
03/06/2022 05:00:41.0676 下午,53,2811.25,14.177,0,0,0,0,0
03/06/2022 05:00:41.8723 下午,56,2067.25,14.177,0,0,0,0,0
03/06/2022 05:00:43.1957 下午,56,1902.75,14.177,0,0,0,0,0
03/06/2022 05:00:44.6276 下午,55,1488.5,14.177,0,0,0,0,0
03/06/2022 05:00:45.8166 下午,53,1459.25,14.247,0,0,0,0,0
03/06/2022 05:00:46.6396 下午,51,1403.75,14.247,0,0,0,0,0
03/06/2022 05:00:47.2889 下午,50,1513,14.247,0,0,0,0,0
03/06/2022 05:00:48.5446 下午,50,1499.5,14.247,0,0,0,0,0
03/06/2022 05:00:49.6633 下午,50,1476,14.247,0,0,0,0,0
03/06/2022 05:00:50.2516 下午,50,1533.75,14.247,0,0,0,0,0
03/06/2022 05:00:50.9366 下午,50,1523.5,14.247,0,0,0,0,0
03/06/2022 05:00:52.3963 下午,50,1463.75,14.247,0,0,0,0,0
03/06/2022 05:00:53.2828 下午,51,1452.5,14.247,0,0,0,0,0
03/06/2022 05:00:54.1441 下午,48,1293.25,14.247,0,0,0,0,0
03/06/2022 05:00:54.7940 下午,45,1173,14.2,0,0,0,0,0
03/06/2022 05:00:55.7250 下午,43,1205.75,14.2,0,0,0,0,0
03/06/2022 05:00:56.6765 下午,42,1237.75,14.2,0,0,0,0,0
03/06/2022 05:00:57.5129 下午,43,1261.5,14.2,0,0,0,0,0
03/06/2022 05:00:58.1114 下午,43,1206.75,14.2,0,0,0,0,0
03/06/2022 05:00:58.9961 下午,42,1194.75,14.2,0,0,0,0,0
03/06/2022 05:00:59.8254 下午,42,1207.25,14.2,0,0,0,0,0
03/06/2022 05:01:00.5077 下午,42,1225.25,14.2,0,0,0,0,0
03/06/2022 05:01:01.3810 下午,43,1301.75,14.2,0,0,0,0,0
03/06/2022 05:01:02.8292 下午,43,1416.25,14.2,0,0,0,0,0
03/06/2022 05:01:03.5469 下午,43,1227.25,14.224,0,0,0,0,0
03/06/2022 05:01:04.3391 下午,42,1171.75,14.224,0,0,0,0,0
03/06/2022 05:01:04.8947 下午,41,1221.75,14.224,0,0,0,0,0
03/06/2022 05:01:05.8867 下午,41,1264.75,14.224,0,0,0,0,0
03/06/2022 05:01:06.8913 下午,41,1302.25,14.224,0,0,0,0,0
03/06/2022 05:01:07.6973 下午,42,1293.5,14.224,0,0,0,0,0
03/06/2022 05:01:08.4016 下午,42,1384.5,14.224,0,0,0,0,0
03/06/2022 05:01:09.6473 下午,41,1304.25,14.224,0,0,0,0,0
03/06/2022 05:01:10.5965 下午,41,1211.25,14.224,0,0,0,0,0
03/06/2022 05:01:11.2296 下午,42,1408,14.224,0,0,0,0,0
03/06/2022 05:01:11.9338 下午,42,1224.5,14.271,0,0,0,0,0
03/06/2022 05:01:13.3995 下午,42,1276,14.271,0,0,0,0,0
03/06/2022 05:01:14.3889 下午,42,1289.75,14.271,0,0,0,0,0
03/06/2022 05:01:15.0587 下午,44,1277.75,14.271,0,0,0,0,0
03/06/2022 05:01:15.6914 下午,45,1421,14.271,0,0,0,0,0
03/06/2022 05:01:16.8807 下午,46,1507.25,14.271,0,0,0,0,0
03/06/2022 05:01:17.6206 下午,46,1492,14.271,0,0,0,0,0
03/06/2022 05:01:18.2644 下午,47,1397.25,14.271,0,0,0,0,0
03/06/2022 05:01:19.3416 下午,47,1407,14.271,0,0,0,0,0
03/06/2022 05:01:20.3143 下午,48,1480.25,14.271,0,0,0,0,0
03/06/2022 05:01:21.4345 下午,49,1568.75,14.247,0,0,0,0,0
03/06/2022 05:01:22.0535 下午,48,1340.75,14.247,0,0,0,0,0
03/06/2022 05:01:22.7023 下午,47,1306.5,14.247,0,0,0,0,0
03/06/2022 05:01:24.2198 下午,47,1346.5,14.247,0,0,0,0,0
03/06/2022 05:01:25.5020 下午,47,1321,14.247,0,0,0,0,0
03/06/2022 05:01:26.2570 下午,45,1426.25,14.247,0,0,0,0,0
03/06/2022 05:01:26.8669 下午,46,1446,14.247,0,0,0,0,0
03/06/2022 05:01:27.8095 下午,46,1344.75,14.247,0,0,0,0,0
03/06/2022 05:01:28.7974 下午,46,1358.75,14.247,0,0,0,0,0
03/06/2022 05:01:29.5515 下午,46,1475.5,14.247,0,0,0,0,0
03/06/2022 05:01:30.1745 下午,47,1383,14.224,0,0,0,0,0
03/06/2022 05:01:31.3890 下午,47,1428,14.224,0,0,0,0,0
03/06/2022 05:01:32.5754 下午,48,1426.25,14.224,0,0,0,0,0
03/06/2022 05:01:33.2378 下午,47,1300.5,14.224,0,0,0,0,0
03/06/2022 05:01:33.8957 下午,45,1244,14.224,0,0,0,0,0
03/06/2022 05:01:34.8415 下午,43,1184.25,14.224,0,0,0,0,0
03/06/2022 05:01:35.7976 下午,41,1134.75,14.224,0,0,0,0,0
03/06/2022 05:01:36.4359 下午,34,1201,14.224,0,0,0,0,0
03/06/2022 05:01:37.1941 下午,31,1086.5,14.224,0,0,0,0,0
03/06/2022 05:01:38.5502 下午,28,1307.5,14.224,0,0,0,0,0
03/06/2022 05:01:39.3948 下午,22,1358.25,14.153,0,0,0,0,0
03/06/2022 05:01:40.2331 下午,13,1329.75,14.153,0,0,0,0,0
03/06/2022 05:01:41.0234 下午,10,1309.75,14.153,0,0,0,0,0
03/06/2022 05:01:42.3032 下午,6,1164.25,14.153,0,0,0,0,0
03/06/2022 05:01:43.2449 下午,3,1093.5,14.153,0,0,0,0,0
03/06/2022 05:01:43.8992 下午,0,951.75,14.153,0,0,0,0,0
03/06/2022 05:01:44.8280 下午,0,878.5,14.153,0,0,0,0,0
03/06/2022 05:01:46.1081 下午,0,817.5,14.153,0,0,0,0,0
03/06/2022 05:01:47.1235 下午,0,773.25,14.153,0,0,0,0,0
03/06/2022 05:01:47.9906 下午,0,752.25,14.153,0,0,0,0,0
03/06/2022 05:01:48.7100 下午,0,753,14.2,0,0,0,0,0
03/06/2022 05:01:49.7471 下午,0,749.5,14.2,0,0,0,0,0
03/06/2022 05:01:50.8153 下午,0,744.25,14.2,0,0,0,0,0
03/06/2022 05:01:51.4418 下午,0,758.25,14.2,0,0,0,0,0
03/06/2022 05:01:52.1485 下午,0,760.25,14.2,0,0,0,0,0
03/06/2022 05:01:53.1221 下午,0,759,14.2,0,0,0,0,0
03/06/2022 05:01:54.1843 下午,0,751.5,14.2,0,0,0,0,0
03/06/2022 05:01:54.8110 下午,0,753.5,14.2,0,0,0,0,0
03/06/2022 05:01:55.4178 下午,0,760.5,14.2,0,0,0,0,0
03/06/2022 05:01:56.5752 下午,0,747.25,14.2,0,0,0,0,0
03/06/2022 05:01:57.6686 下午,0,755,14.341,0,0,0,0,0
03/06/2022 05:01:58.3949 下午,0,758.5,14.341,0,0,0,0,0
03/06/2022 05:01:59.0377 下午,0,741.5,14.341,0,0,0,0,0
03/06/2022 05:02:00.5218 下午,0,757.75,14.341,0,0,0,0,0
03/06/2022 05:02:01.5051 下午,0,745.25,14.341,0,0,0,0,0
03/06/2022 05:02:02.1852 下午,0,758.5,14.341,0,0,0,0,0
03/06/2022 05:02:02.6321 下午,0,742.75,14.341,0,0,0,0,0
03/06/2022 05:02:03.3089 下午,0,755.5,14.341,0,0,0,0,0
03/06/2022 05:02:04.0105 下午,0,756.75,14.341,0,0,0,0,0
03/06/2022 05:02:04.5236 下午,0,763,14.341,0,0,0,0,0
03/06/2022 05:02:05.1744 下午,0,743.5,14.271,0,0,0,0,0
03/06/2022 05:02:05.9891 下午,0,753,14.271,0,0,0,0,0
03/06/2022 05:02:06.8035 下午,0,748.75,14.271,0,0,0,0,0
03/06/2022 05:02:07.2958 下午,0,749.25,14.271,0,0,0,0,0
03/06/2022 05:02:07.8134 下午,0,746,14.271,0,0,0,0,0
03/06/2022 05:02:08.8099 下午,0,757.75,14.271,0,0,0,0,0
03/06/2022 05:02:09.5930 下午,0,753,14.271,0,0,0,0,0
03/06/2022 05:02:10.0660 下午,0,765,14.271,0,0,0,0,0
03/06/2022 05:02:10.5769 下午,0,741,14.271,0,0,0,0,0
03/06/2022 05:02:11.5151 下午,0,755.5,14.271,0,0,0,0,0
03/06/2022 05:02:12.2943 下午,0,764.25,14.224,0,0,0,0,0
03/06/2022 05:02:13.6285 下午,0,750.25,14.224,0,0,0,0,0
03/06/2022 05:02:14.4785 下午,0,750.5,14.224,0,0,0,0,0
03/06/2022 05:02:15.4257 下午,0,758,14.224,0,0,0,0,0
03/06/2022 05:02:16.1432 下午,0,741.5,14.224,0,0,0,0,0
03/06/2022 05:02:16.8020 下午,0,743.5,14.224,0,0,0,0,0
03/06/2022 05:02:17.2742 下午,0,758.5,14.224,0,0,0,0,0
03/06/2022 05:02:19.2873 下午,0,768.5,14.224,0,0,0,0,0
03/06/2022 05:02:23.1519 下午,0,755.5,14.224,0,0,0,0,0
03/06/2022 05:02:24.2082 下午,0,773.5,14.247,0,0,0,0,0
03/06/2022 05:02:24.9615 下午,16,2722,14.247,0,0,0,0,0
03/06/2022 05:02:26.0884 下午,22,3251,14.247,0,0,0,0,0
03/06/2022 05:02:27.5590 下午,26,2645.25,14.247,0,0,0,0,0
03/06/2022 05:02:28.7356 下午,32,2825.75,14.247,0,0,0,0,0
03/06/2022 05:02:29.4363 下午,37,2076.75,14.247,0,0,0,0,0
03/06/2022 05:02:30.1786 下午,40,2231.5,14.247,0,0,0,0,0
03/06/2022 05:02:31.4368 下午,41,1703.25,14.247,0,0,0,0,0
03/06/2022 05:02:32.2633 下午,42,1698.25,14.247,0,0,0,0,0
03/06/2022 05:02:33.0789 下午,42,1609.75,14.247,0,0,0,0,0
03/06/2022 05:02:33.9443 下午,43,1664.25,14.2,0,0,0,0,0
03/06/2022 05:02:34.9603 下午,43,1655.75,14.2,0,0,0,0,0
03/06/2022 05:02:35.9057 下午,43,1630.25,14.2,0,0,0,0,0
03/06/2022 05:02:36.6500 下午,42,1555.5,14.2,0,0,0,0,0
03/06/2022 05:02:37.3299 下午,41,1436.75,14.2,0,0,0,0,0
03/06/2022 05:02:38.7498 下午,38,1329.5,14.2,0,0,0,0,0
03/06/2022 05:02:40.0917 下午,36,1232.75,14.2,0,0,0,0,0
03/06/2022 05:02:40.6948 下午,32,1112.75,14.2,0,0,0,0,0
03/06/2022 05:02:41.4157 下午,29,1028.25,14.2,0,0,0,0,0
03/06/2022 05:02:42.4629 下午,27,1302.75,14.2,0,0,0,0,0
03/06/2022 05:02:43.5218 下午,25,1343.5,14.271,0,0,0,0,0
03/06/2022 05:02:44.2923 下午,25,1572,14.271,0,0,0,0,0
03/06/2022 05:02:44.9693 下午,26,1402.75,14.271,0,0,0,0,0
03/06/2022 05:02:45.8266 下午,26,1448,14.271,0,0,0,0,0
03/06/2022 05:02:46.6109 下午,26,1486.75,14.271,0,0,0,0,0
03/06/2022 05:02:47.2971 下午,26,1593.5,14.271,0,0,0,0,0
03/06/2022 05:02:47.8968 下午,28,1574.75,14.271,0,0,0,0,0
03/06/2022 05:02:49.0497 下午,29,1581.25,14.271,0,0,0,0,0
03/06/2022 05:02:49.8517 下午,29,1470.5,14.271,0,0,0,0,0
03/06/2022 05:02:50.7494 下午,29,1688.75,14.271,0,0,0,0,0
03/06/2022 05:02:52.0049 下午,30,1724,14.247,0,0,0,0,0
03/06/2022 05:02:52.9829 下午,31,1797.25,14.247,0,0,0,0,0
03/06/2022 05:02:53.7445 下午,32,1805.5,14.247,0,0,0,0,0
03/06/2022 05:02:54.8413 下午,32,1699,14.247,0,0,0,0,0
03/06/2022 05:02:55.5057 下午,32,1702,14.247,0,0,0,0,0
03/06/2022 05:02:56.5106 下午,32,1696.25,14.247,0,0,0,0,0
03/06/2022 05:02:57.2113 下午,32,1688,14.247,0,0,0,0,0
03/06/2022 05:02:57.6693 下午,32,1829,14.247,0,0,0,0,0
03/06/2022 05:02:58.1714 下午,32,1768.25,14.247,0,0,0,0,0
03/06/2022 05:02:59.1905 下午,33,1725,14.247,0,0,0,0,0
03/06/2022 05:02:59.9497 下午,33,1786.25,14.247,0,0,0,0,0
03/06/2022 05:03:00.4057 下午,33,1289.25,14.247,0,0,0,0,0
03/06/2022 05:03:00.9720 下午,33,1181.25,14.247,0,0,0,0,0
03/06/2022 05:03:01.8468 下午,32,1162,14.247,0,0,0,0,0
03/06/2022 05:03:02.5534 下午,32,1153.25,14.247,0,0,0,0,0
03/06/2022 05:03:03.1315 下午,31,1139.25,14.247,0,0,0,0,0
03/06/2022 05:03:03.6911 下午,30,1282.5,14.247,0,0,0,0,0
03/06/2022 05:03:04.4117 下午,31,1347.75,14.247,0,0,0,0,0
03/06/2022 05:03:05.0614 下午,31,1329.25,14.247,0,0,0,0,0
03/06/2022 05:03:05.7004 下午,32,1267.75,14.247,0,0,0,0,0
03/06/2022 05:03:06.2016 下午,32,1357,14.059,0,0,0,0,0
03/06/2022 05:03:07.0584 下午,33,1383.25,14.059,0,0,0,0,0
03/06/2022 05:03:07.7594 下午,34,1473,14.059,0,0,0,0,0
03/06/2022 05:03:08.3389 下午,37,1428.75,14.059,0,0,0,0,0
03/06/2022 05:03:09.6222 下午,38,1476.5,14.059,0,0,0,0,0
03/06/2022 05:03:10.9589 下午,40,1569,14.059,0,0,0,0,0
03/06/2022 05:03:11.8548 下午,39,1418,14.059,0,0,0,0,0
03/06/2022 05:03:12.4665 下午,37,1282.25,14.059,0,0,0,0,0
03/06/2022 05:03:13.3246 下午,35,1264.5,14.059,0,0,0,0,0
03/06/2022 05:03:14.5686 下午,35,1237.25,14.059,0,0,0,0,0
03/06/2022 05:03:15.4838 下午,33,1178.75,14.153,0,0,0,0,0
03/06/2022 05:03:16.2221 下午,31,1114.75,14.153,0,0,0,0,0
03/06/2022 05:03:16.7999 下午,30,1041.75,14.153,0,0,0,0,0
03/06/2022 05:03:17.8207 下午,29,1301.75,14.153,0,0,0,0,0
03/06/2022 05:03:19.0246 下午,28,1335.5,14.153,0,0,0,0,0
03/06/2022 05:03:19.6254 下午,28,1590,14.153,0,0,0,0,0
03/06/2022 05:03:20.2484 下午,28,1508.25,14.153,0,0,0,0,0
03/06/2022 05:03:21.6095 下午,28,1463,14.153,0,0,0,0,0
03/06/2022 05:03:22.6111 下午,28,1533.25,14.153,0,0,0,0,0
03/06/2022 05:03:23.5034 下午,25,1282.5,14.153,0,0,0,0,0
03/06/2022 05:03:24.1701 下午,22,1287.5,14.2,0,0,0,0,0
03/06/2022 05:03:25.4709 下午,20,1468,14.2,0,0,0,0,0
03/06/2022 05:03:27.0153 下午,20,1743.25,14.2,0,0,0,0,0
03/06/2022 05:03:27.6948 下午,27,2564.25,14.2,0,0,0,0,0
03/06/2022 05:03:28.3825 下午,30,1740.25,14.2,0,0,0,0,0
03/06/2022 05:03:29.3228 下午,33,1844,14.2,0,0,0,0,0
03/06/2022 05:03:30.2038 下午,34,1972.5,14.2,0,0,0,0,0
03/06/2022 05:03:30.9024 下午,38,1989.5,14.2,0,0,0,0,0
03/06/2022 05:03:31.6686 下午,39,1544,14.2,0,0,0,0,0
03/06/2022 05:03:33.0139 下午,41,1603.25,14.2,0,0,0,0,0
03/06/2022 05:03:34.1570 下午,42,1707,14.247,0,0,0,0,0
03/06/2022 05:03:34.9867 下午,45,1819.75,14.247,0,0,0,0,0
03/06/2022 05:03:35.6861 下午,46,1542.75,14.247,0,0,0,0,0
03/06/2022 05:03:36.8968 下午,46,1483.25,14.247,0,0,0,0,0
03/06/2022 05:03:37.8392 下午,47,1452.5,14.247,0,0,0,0,0
03/06/2022 05:03:38.5697 下午,47,1317.25,14.247,0,0,0,0,0
03/06/2022 05:03:39.2052 下午,46,1284.25,14.247,0,0,0,0,0
03/06/2022 05:03:40.4443 下午,45,1220.25,14.247,0,0,0,0,0
03/06/2022 05:03:41.6070 下午,45,1201.75,14.247,0,0,0,0,0
03/06/2022 05:03:42.2284 下午,43,1188.5,14.247,0,0,0,0,0
03/06/2022 05:03:43.5525 下午,42,1185.25,14.224,0,0,0,0,0
03/06/2022 05:03:44.7870 下午,41,1296.25,14.224,0,0,0,0,0
03/06/2022 05:03:45.8090 下午,41,1238.75,14.224,0,0,0,0,0
03/06/2022 05:03:46.4414 下午,41,1262.75,14.224,0,0,0,0,0
03/06/2022 05:03:47.1007 下午,39,1394.5,14.224,0,0,0,0,0
03/06/2022 05:03:48.1500 下午,38,1385,14.224,0,0,0,0,0
03/06/2022 05:03:49.3741 下午,38,1358,14.224,0,0,0,0,0
03/06/2022 05:03:49.9778 下午,36,1378.75,14.224,0,0,0,0,0
03/06/2022 05:03:50.5595 下午,36,1458,14.224,0,0,0,0,0
03/06/2022 05:03:51.7826 下午,36,1424.5,14.224,0,0,0,0,0
03/06/2022 05:03:52.7121 下午,36,1333.25,14.271,0,0,0,0,0
03/06/2022 05:03:53.4194 下午,35,1240.75,14.271,0,0,0,0,0
03/06/2022 05:03:53.9291 下午,34,1205.25,14.271,0,0,0,0,0
03/06/2022 05:03:55.2568 下午,33,1181,14.271,0,0,0,0,0
03/06/2022 05:03:57.1886 下午,31,1096,14.271,0,0,0,0,0
03/06/2022 05:03:57.9816 下午,25,1201.25,14.271,0,0,0,0,0
